2025/06/27 14:39:44 Loading cert from /workdir/cert.pem
2025/06/27 14:39:44 Loading key from /workdir/key.pem
2025/06/27 14:39:44 Opened archive /workdir/archive.wprgo
2025/06/27 14:39:44 Loading script from deterministic.js
2025/06/27 14:39:44 Use Ctrl-C to exit.
2025/06/27 14:39:44 Starting server on http://127.0.0.1:8080
2025/06/27 14:39:44 Starting server on https://127.0.0.1:8081
2025/06/27 14:41:53 ServeHTTP(https://tma.ifip.org/2025/wp-content/themes/spacious/js/spacious-custom.js?ver=6.8.1): serving 200, 1020 bytes
2025/06/27 14:41:53 ServeHTTP(https://tma.ifip.org/2025/wp-content/themes/spacious/font-awesome/library/font-awesome/css/solid.min.css?ver=6.2.4): serving 200, 325 bytes
2025/06/27 14:41:53 ServeHTTP(https://tma.ifip.org/2025/wp-content/themes/spacious/font-awesome/library/font-awesome/css/all.min.css?ver=6.2.4): serving 200, 29808 bytes
2025/06/27 14:41:53 ServeHTTP(https://tma.ifip.org/2025/wp-content/themes/spacious/js/navigation.js?ver=6.8.1): serving 200, 2648 bytes
2025/06/27 14:41:53 ServeHTTP(https://tma.ifip.org/2025/wp-includes/js/jquery/jquery-migrate.min.js?ver=3.4.1): serving 200, 4872 bytes
2025/06/27 14:41:53 ServeHTTP(https://tma.ifip.org/2025/wp-content/themes/spacious/genericons/genericons.css?ver=3.3.1): serving 200, 16468 bytes
2025/06/27 14:41:53 ServeHTTP(https://tma.ifip.org/2025/wp-content/themes/spacious/font-awesome/library/font-awesome/css/regular.min.css?ver=6.2.4): serving 200, 326 bytes
2025/06/27 14:41:53 ServeHTTP(https://tma.ifip.org/2025/wp-content/themes/spacious/style.css?ver=6.8.1): serving 200, 13486 bytes
2025/06/27 14:41:53 ServeHTTP(https://tma.ifip.org/2025/wp-content/themes/spacious/font-awesome/library/font-awesome/css/v4-shims.min.css?ver=4.7.0): serving 200, 4113 bytes
2025/06/27 14:41:53 ServeHTTP(https://tma.ifip.org/2025/wp-content/themes/spacious/font-awesome/library/font-awesome/css/brands.min.css?ver=6.2.4): serving 200, 4833 bytes
