2025/07/04 15:11:27 Loading cert from /certs/cert.pem
2025/07/04 15:11:27 Loading key from /certs/key.pem
2025/07/04 15:11:27 Opened archive /workdir/archive.wprgo
2025/07/04 15:11:27 Loading script from deterministic.js
2025/07/04 15:11:27 Use Ctrl-C to exit.
2025/07/04 15:11:27 Starting server on http://127.0.0.1:8080
2025/07/04 15:11:27 Starting server on https://127.0.0.1:8081
2025/07/04 15:15:50 http: TLS handshake error from 127.0.0.1:51388: EOF
2025/07/04 15:15:50 http: TLS handshake error from 127.0.0.1:51404: EOF
2025/07/04 15:15:51 ServeHTTP(https://fonts.gstatic.com/s/raleway/v36/1Ptug8zYS_SKggPNyCMIT5lu.woff2): serving 200, 31480 bytes
2025/07/04 15:15:51 ServeHTTP(https://fonts.gstatic.com/s/opensanscondensed/v23/z7NFdQDnbTkabZAIOl9il_O6KJj73e7Ff1GhDuXMRw.woff2): serving 200, 14964 bytes
2025/07/04 15:15:51 ServeHTTP(https://www.google-analytics.com/j/collect?v=1&_v=j101&a=992137445&t=pageview&_s=1&dl=https%3A%2F%2Ftma.ifip.org%2F2016%2F&ul=en-us&de=UTF-8&dt=TMA%202016%20International%20Workshop%20on%20Traffic%20Monitoring%20and%20Analysis%20%7C%20Home%20%3A%3A%20w3layouts&sd=24-bit&sr=800x600&vp=1351x621&je=0&_u=IEBAAEABAAAAACAAI~&jid=992137445&gjid=992137445&cid=825163896.1751641887&tid=UA-7272448-3&_gid=825163896.1751641887&_r=1&_slc=1&z=1984274890): serving 200, 3 bytes
2025/07/04 15:15:51 ServeHTTP(https://fonts.gstatic.com/s/raleway/v36/1Ptug8zYS_SKggPNyC0ITw.woff2): serving 200, 48264 bytes
2025/07/04 15:15:51 ServeHTTP(https://tma.ifip.org/favicon.ico): serving 302, 0 bytes
2025/07/04 15:15:51 ServeHTTP(https://tma.ifip.org/wp-includes/images/w-logo-blue-white-bg.png): serving 200, 4119 bytes
2025/07/04 15:15:53 ServeHTTP(https://android.clients.google.com/checkin): serving 200, 470 bytes
2025/07/04 15:15:53 ServeHTTP(https://android.clients.google.com/c2dm/register3): serving 200, 50 bytes
2025/07/04 15:15:53 ServeHTTP(https://android.clients.google.com/c2dm/register3): serving 200, 50 bytes
2025/07/04 15:16:13 ServeHTTP(https://accounts.google.com/ListAccounts?gpsia=1&source=ChromiumBrowser&json=standard): serving 200, 43 bytes
2025/07/04 15:16:14 ScriptInjector(https://tma.ifip.org/2021/): succesfully injected
2025/07/04 15:16:14 ServeHTTP(https://tma.ifip.org/2021/): serving 200, 10643 bytes
2025/07/04 15:16:14 ServeHTTP(https://tma.ifip.org/2021/wp-content/themes/spacious/font-awesome/library/font-awesome/css/solid.min.css?ver=6.2.4): serving 200, 325 bytes
2025/07/04 15:16:14 ServeHTTP(https://tma.ifip.org/2021/wp-content/themes/spacious/font-awesome/library/font-awesome/css/v4-shims.min.css?ver=4.7.0): serving 200, 4113 bytes
2025/07/04 15:16:14 ServeHTTP(https://tma.ifip.org/2021/wp-content/themes/spacious/font-awesome/library/font-awesome/css/regular.min.css?ver=6.2.4): serving 200, 326 bytes
2025/07/04 15:16:14 ServeHTTP(https://tma.ifip.org/2021/wp-content/themes/spacious/font-awesome/library/font-awesome/css/brands.min.css?ver=6.2.4): serving 200, 4833 bytes
2025/07/04 15:16:14 ServeHTTP(https://tma.ifip.org/2021/wp-includes/css/dist/block-library/style.min.css?ver=6.8.1): serving 200, 15323 bytes
2025/07/04 15:16:14 ServeHTTP(https://tma.ifip.org/2021/wp-content/themes/spacious/font-awesome/library/font-awesome/css/all.min.css?ver=6.2.4): serving 200, 29808 bytes
2025/07/04 15:16:14 ServeHTTP(https://tma.ifip.org/2021/wp-content/themes/spacious/style.css?ver=6.8.1): serving 200, 13486 bytes
2025/07/04 15:16:14 ServeHTTP(https://tma.ifip.org/2021/wp-includes/js/jquery/jquery.min.js?ver=3.7.1): serving 200, 30368 bytes
2025/07/04 15:16:14 ServeHTTP(https://tma.ifip.org/2021/wp-content/themes/spacious/font-awesome/css/font-awesome.min.css?ver=4.7.1): serving 200, 23431 bytes
2025/07/04 15:16:14 ServeHTTP(https://tma.ifip.org/2021/wp-content/themes/spacious/js/spacious-custom.js?ver=6.8.1): serving 200, 1020 bytes
2025/07/04 15:16:14 ServeHTTP(https://tma.ifip.org/2021/wp-content/themes/spacious/genericons/genericons.css?ver=3.3.1): serving 200, 16468 bytes
2025/07/04 15:16:14 ServeHTTP(https://tma.ifip.org/2021/wp-content/uploads/sites/10/2021/02/cropped-photo-1451187580459-43490279c0fa-2.jpeg): serving 200, 96297 bytes
2025/07/04 15:16:14 ServeHTTP(https://tma.ifip.org/2021/wp-content/uploads/sites/10/2019/09/cropped-cropped-tma-conference-logo_1.png): serving 200, 111390 bytes
2025/07/04 15:16:14 ServeHTTP(https://tma.ifip.org/2021/wp-includes/js/jquery/jquery-migrate.min.js?ver=3.4.1): serving 200, 4872 bytes
2025/07/04 15:16:14 ServeHTTP(https://tma.ifip.org/2021/wp-content/uploads/sites/10/siteorigin-widgets/sow-image-default-8b5b6f678277.css?ver=6.8.1): serving 200, 224 bytes
2025/07/04 15:16:14 ServeHTTP(https://tma.ifip.org/2021/wp-content/plugins/siteorigin-panels/css/front-flex.min.css?ver=2.32.1): serving 200, 563 bytes
2025/07/04 15:16:14 ServeHTTP(https://tma.ifip.org/2021/wp-content/themes/spacious/js/navigation.js?ver=6.8.1): serving 200, 2648 bytes
2025/07/04 15:16:14 ServeHTTP(https://tma.ifip.org/2021/wp-content/themes/spacious/js/skip-link-focus-fix.js?ver=6.8.1): serving 200, 425 bytes
2025/07/04 15:16:14 ServeHTTP(https://tma.ifip.org/2021/wp-content/uploads/sites/10/2020/01/IFIP_TC6.png): serving 200, 24460 bytes
2025/07/04 15:16:14 ServeHTTP(https://tma.ifip.org/2021/wp-content/themes/spacious/assets/fonts/Lato-Bold.woff): serving 200, 36784 bytes
2025/07/04 15:16:14 ServeHTTP(https://tma.ifip.org/2021/wp-content/themes/spacious/assets/fonts/Lato-Black.woff): serving 200, 36172 bytes
2025/07/04 15:16:14 ServeHTTP(https://tma.ifip.org/2021/wp-content/themes/spacious/assets/fonts/Lato-Regular.woff): serving 200, 37580 bytes
2025/07/04 15:16:14 ServeHTTP(https://tma.ifip.org/2021/wp-includes/js/wp-emoji-release.min.js?ver=6.8.1): serving 200, 5166 bytes
2025/07/04 15:16:15 ServeHTTP(https://tma.ifip.org/favicon.ico): serving 302, 0 bytes
2025/07/04 15:16:15 ServeHTTP(https://tma.ifip.org/wp-includes/images/w-logo-blue-white-bg.png): serving 200, 4119 bytes
2025/07/04 15:16:18 ServeHTTP(https://android.clients.google.com/checkin): serving 200, 470 bytes
2025/07/04 15:16:18 ServeHTTP(https://android.clients.google.com/c2dm/register3): serving 200, 50 bytes
2025/07/04 15:16:18 ServeHTTP(https://android.clients.google.com/c2dm/register3): serving 200, 50 bytes
2025/07/04 15:16:32 ServeHTTP(https://accounts.google.com/ListAccounts?gpsia=1&source=ChromiumBrowser&json=standard): serving 200, 43 bytes
2025/07/04 15:16:33 ScriptInjector(https://tma.ifip.org/2025/): succesfully injected
2025/07/04 15:16:33 ServeHTTP(https://tma.ifip.org/2025/): serving 200, 11314 bytes
2025/07/04 15:16:33 ServeHTTP(https://tma.ifip.org/2025/wp-includes/css/dist/block-library/style.min.css?ver=6.8.1): serving 200, 15323 bytes
2025/07/04 15:16:33 ServeHTTP(https://tma.ifip.org/2025/wp-content/themes/spacious/font-awesome/library/font-awesome/css/v4-shims.min.css?ver=4.7.0): serving 200, 4113 bytes
2025/07/04 15:16:33 ServeHTTP(https://tma.ifip.org/2025/wp-content/themes/spacious/font-awesome/library/font-awesome/css/solid.min.css?ver=6.2.4): serving 200, 325 bytes
2025/07/04 15:16:33 ServeHTTP(https://tma.ifip.org/2025/wp-content/themes/spacious/font-awesome/library/font-awesome/css/regular.min.css?ver=6.2.4): serving 200, 326 bytes
2025/07/04 15:16:33 ServeHTTP(https://tma.ifip.org/2025/wp-content/themes/spacious/font-awesome/library/font-awesome/css/brands.min.css?ver=6.2.4): serving 200, 4833 bytes
2025/07/04 15:16:33 ServeHTTP(https://tma.ifip.org/2025/wp-content/themes/spacious/genericons/genericons.css?ver=3.3.1): serving 200, 16468 bytes
2025/07/04 15:16:33 ServeHTTP(https://tma.ifip.org/2025/wp-content/themes/spacious/style.css?ver=6.8.1): serving 200, 13486 bytes
2025/07/04 15:16:33 ServeHTTP(https://tma.ifip.org/2025/wp-content/themes/spacious/font-awesome/library/font-awesome/css/all.min.css?ver=6.2.4): serving 200, 29808 bytes
2025/07/04 15:16:33 ServeHTTP(https://tma.ifip.org/2025/wp-includes/js/jquery/jquery.min.js?ver=3.7.1): serving 200, 30368 bytes
2025/07/04 15:16:33 ServeHTTP(https://tma.ifip.org/2025/wp-content/themes/spacious/font-awesome/css/font-awesome.min.css?ver=4.7.1): serving 200, 23431 bytes
2025/07/04 15:16:33 ServeHTTP(https://tma.ifip.org/2025/wp-includes/js/jquery/jquery-migrate.min.js?ver=3.4.1): serving 200, 4872 bytes
2025/07/04 15:16:33 ServeHTTP(https://tma.ifip.org/2025/wp-content/themes/spacious/js/navigation.js?ver=6.8.1): serving 200, 2648 bytes
2025/07/04 15:16:33 ServeHTTP(https://tma.ifip.org/2025/wp-content/themes/spacious/js/spacious-custom.js?ver=6.8.1): serving 200, 1020 bytes
2025/07/04 15:16:33 ServeHTTP(https://tma.ifip.org/2025/wp-content/uploads/sites/14/2025/02/cropped-tma-banner-with-support-logos.png): serving 200, 860487 bytes
2025/07/04 15:16:33 ServeHTTP(https://tma.ifip.org/2025/wp-content/themes/spacious/js/skip-link-focus-fix.js?ver=6.8.1): serving 200, 425 bytes
2025/07/04 15:16:33 ServeHTTP(https://tma.ifip.org/2025/wp-content/uploads/sites/14/2025/02/IFIP_TC6.png): serving 200, 24460 bytes
2025/07/04 15:16:33 ServeHTTP(https://tma.ifip.org/2025/wp-content/uploads/sites/14/2019/09/ieee-comsoc-300x116.png): serving 200, 18011 bytes
2025/07/04 15:16:33 ServeHTTP(https://tma.ifip.org/2025/wp-content/uploads/sites/14/2019/09/ieee_mb_blue-300x87.gif): serving 200, 2263 bytes
2025/07/04 15:16:33 ServeHTTP(https://tma.ifip.org/2024/wp-content/uploads/sites/13/2019/09/logoIFIP-150x150.gif): serving 200, 87007 bytes
2025/07/04 15:16:33 ServeHTTP(https://tma.ifip.org/2025/wp-content/themes/spacious/assets/fonts/Lato-Bold.woff): serving 200, 36784 bytes
2025/07/04 15:16:33 ServeHTTP(https://tma.ifip.org/2025/wp-content/themes/spacious/assets/fonts/Lato-Regular.woff): serving 200, 37580 bytes
2025/07/04 15:16:33 ServeHTTP(https://tma.ifip.org/2025/wp-content/themes/spacious/assets/fonts/Lato-Italic.woff): serving 200, 39144 bytes
2025/07/04 15:16:33 ServeHTTP(https://tma.ifip.org/2025/wp-content/uploads/sites/14/2025/02/isoc-300x104.png): serving 200, 20649 bytes
2025/07/04 15:16:33 ServeHTTP(https://tma.ifip.org/2025/wp-includes/js/wp-emoji-release.min.js?ver=6.8.1): serving 200, 5166 bytes
